start,finish,distance,path
athletic_Fields,burton_Lawn,22,athletic_Fields -> lamont_Bridge -> rock_Park -> burton_Lawn
athletic_Fields,capen_Garden,38,athletic_Fields -> lamont_Bridge -> rock_Park -> burton_Lawn -> seelye_Lawn -> chapin_Lawn -> cutter_Courtyard -> davis_Lawn -> capen_Garden
athletic_Fields,chapin_Lawn,27,athletic_Fields -> lamont_Bridge -> rock_Park -> burton_Lawn -> seelye_Lawn -> chapin_Lawn
athletic_Fields,conway_Gazebo,39,athletic_Fields -> lamont_Bridge -> rock_Park -> burton_Lawn -> seelye_Lawn -> chapin_Lawn -> cutter_Courtyard -> davis_Lawn -> capen_Garden -> conway_Gazebo
athletic_Fields,cutter_Courtyard,35,athletic_Fields -> lamont_Bridge -> rock_Park -> burton_Lawn -> seelye_Lawn -> chapin_Lawn -> cutter_Courtyard
athletic_Fields,davis_Lawn,37,athletic_Fields -> lamont_Bridge -> rock_Park -> burton_Lawn -> seelye_Lawn -> chapin_Lawn -> cutter_Courtyard -> davis_Lawn
athletic_Fields,grecourt_Gate,31,athletic_Fields -> lamont_Bridge -> rock_Park -> burton_Lawn -> seelye_Lawn -> grecourt_Gate
athletic_Fields,happy_Chace_28_Garden,32,athletic_Fields -> lamont_Bridge -> rock_Park -> systematics_Garden_and_Perennial_Border -> happy_Chace_28_Garden
athletic_Fields,japanese_Garden,36,athletic_Fields -> lamont_Bridge -> rock_Park -> systematics_Garden_and_Perennial_Border -> happy_Chace_28_Garden -> japanese_Garden
athletic_Fields,lamont_Bridge,10,athletic_Fields -> lamont_Bridge
athletic_Fields,lanning_Fountain,25,athletic_Fields -> lamont_Bridge -> rock_Park -> burton_Lawn -> lanning_Fountain
athletic_Fields,quad_Lawn,35,athletic_Fields -> lamont_Bridge -> rock_Park -> systematics_Garden_and_Perennial_Border -> happy_Chace_28_Garden -> quad_Lawn
athletic_Fields,rock_Garden,28,athletic_Fields -> lamont_Bridge -> rock_Park -> systematics_Garden_and_Perennial_Border -> rock_Garden
athletic_Fields,rock_Park,17,athletic_Fields -> lamont_Bridge -> rock_Park
athletic_Fields,seelye_Lawn,25,athletic_Fields -> lamont_Bridge -> rock_Park -> burton_Lawn -> seelye_Lawn
athletic_Fields,systematics_Garden_and_Perennial_Border,27,athletic_Fields -> lamont_Bridge -> rock_Park -> systematics_Garden_and_Perennial_Border
athletic_Fields,trudys_Garden,40,athletic_Fields -> lamont_Bridge -> rock_Park -> burton_Lawn -> seelye_Lawn -> grecourt_Gate -> trudys_Garden
burton_Lawn,athletic_Fields,22,burton_Lawn -> rock_Park -> lamont_Bridge -> athletic_Fields
burton_Lawn,capen_Garden,16,burton_Lawn -> seelye_Lawn -> chapin_Lawn -> cutter_Courtyard -> davis_Lawn -> capen_Garden
burton_Lawn,chapin_Lawn,5,burton_Lawn -> seelye_Lawn -> chapin_Lawn
burton_Lawn,conway_Gazebo,17,burton_Lawn -> seelye_Lawn -> chapin_Lawn -> cutter_Courtyard -> davis_Lawn -> capen_Garden -> conway_Gazebo
burton_Lawn,cutter_Courtyard,13,burton_Lawn -> seelye_Lawn -> chapin_Lawn -> cutter_Courtyard
burton_Lawn,davis_Lawn,15,burton_Lawn -> seelye_Lawn -> chapin_Lawn -> cutter_Courtyard -> davis_Lawn
burton_Lawn,grecourt_Gate,9,burton_Lawn -> seelye_Lawn -> grecourt_Gate
burton_Lawn,happy_Chace_28_Garden,10,burton_Lawn -> lanning_Fountain -> systematics_Garden_and_Perennial_Border -> happy_Chace_28_Garden
burton_Lawn,japanese_Garden,14,burton_Lawn -> lanning_Fountain -> systematics_Garden_and_Perennial_Border -> happy_Chace_28_Garden -> japanese_Garden
burton_Lawn,lamont_Bridge,12,burton_Lawn -> rock_Park -> lamont_Bridge
burton_Lawn,lanning_Fountain,3,burton_Lawn -> lanning_Fountain
burton_Lawn,quad_Lawn,13,burton_Lawn -> lanning_Fountain -> systematics_Garden_and_Perennial_Border -> happy_Chace_28_Garden -> quad_Lawn
burton_Lawn,rock_Garden,6,burton_Lawn -> lanning_Fountain -> systematics_Garden_and_Perennial_Border -> rock_Garden
burton_Lawn,rock_Park,5,burton_Lawn -> rock_Park
burton_Lawn,seelye_Lawn,3,burton_Lawn -> seelye_Lawn
burton_Lawn,systematics_Garden_and_Perennial_Border,5,burton_Lawn -> lanning_Fountain -> systematics_Garden_and_Perennial_Border
burton_Lawn,trudys_Garden,18,burton_Lawn -> seelye_Lawn -> grecourt_Gate -> trudys_Garden
capen_Garden,athletic_Fields,38,capen_Garden -> davis_Lawn -> cutter_Courtyard -> chapin_Lawn -> seelye_Lawn -> burton_Lawn -> rock_Park -> lamont_Bridge -> athletic_Fields
capen_Garden,burton_Lawn,16,capen_Garden -> davis_Lawn -> cutter_Courtyard -> chapin_Lawn -> seelye_Lawn -> burton_Lawn
capen_Garden,chapin_Lawn,11,capen_Garden -> davis_Lawn -> cutter_Courtyard -> chapin_Lawn
capen_Garden,conway_Gazebo,1,capen_Garden -> conway_Gazebo
capen_Garden,cutter_Courtyard,3,capen_Garden -> davis_Lawn -> cutter_Courtyard
capen_Garden,davis_Lawn,1,capen_Garden -> davis_Lawn
capen_Garden,grecourt_Gate,19,capen_Garden -> davis_Lawn -> cutter_Courtyard -> chapin_Lawn -> seelye_Lawn -> grecourt_Gate
